"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
11.8 16.1 6.8 10.8 19.2 22.2 58.4 46.3 28.3 10.3 21 13.3
11.7 12.8 8.8 10.1 15.7 63.4 42.2 90.9 66.1 12.1 11.3 17.3
9.4 17.5 10.9 1.1 12.8 53.8 38.4 32.9 53.1 35.8 17.2 18.8
16.7 3.7 2.2 9.8 64.5 42.6 102.9 59.7 41.5 11.1 17.2 17.8
5.5 14.4 8.2 8.4 42.9 35.2 68.2 81.3 44.4 35.5 24.5 19.2
6.8 3.1 14.5 16.3 33.6 70.1 38 99.4 46.1 7.2 24.1 15.5
9.5 5.3 12.6 6.1 9.3 5 33.5 12 13.8 15.4 2 2.2
14.5 5.4 10.2 4.9 47.8 11.8 17.6 35.2 61.2 13.1 9.9 4.7
8.4 5.4 6.3 2.5 2.5 34.6 130.8 84.7 32.4 9.1 20.7 12.8
10.4 2.9 24.7 7.4 13.8 14 94.7 54.3 59.5 16 14.7 14
9.3 11.6 14.5 23.3 27.7 31.2 32.2 46.6 36.5 36 28.1 26.9
13 14 7.3 27.7 21.3 34.8 67.5 44.9 22.5 11.9 14.8 17.5
11.4 4.1 18.7 16 29.7 32.2 42.9 52.6 67.3 19.4 29.2 30.3
13.9 7.2 7.4 9.7 28.5 21 51.1 59 50.9 23.4 16.8 10.4
15.1 14.3 16.7 22.2 40.6 76.4 82.1 60.3 60.4 18.9 18.4 13.6
20.2 13.4 5 6.4 48.8 33.6 25.3 66.5 56 26.5 27.4 17.7
16.6 5.2 7.4 23.7 31.6 19.3 52.7 40.5 66.3 47.4 14.5 13.1
20.3 9.1 7.2 7.8 23 49.7 108.8 75.7 54 47.8 18 26.5
24.3 16.6 17.7 23.1 55.1 19.7 36 52.3 40.2 43.5 23.7 25.5
19.8 15.2 15.9 22.7 34.5 50.6 58.6 60.8 43.9 31.2 13.8 19.7
19.3 15.7 14.5 22.5 35.4 51.5 75.1 57.9 56.3 33.4 24.3 19.3
16.2 16.7 24.3 9.2 26.4 26.2 72.4 84.8 44.5 34.8 33.8 33.8
16.1 13.3 14.5 6 35.8 39.4 74.7 75.9 51.3 41.4 13.1 19.1
7.5 3 19.1 16.5 31.9 52.6 121.5 51.8 35.5 16.7 34.1 11.2
20 17.7 12.2 19.4 22 39.5 20.4 66.7 57.6 34.9 23.3 15
11.5 6.9 8.2 7.4 14.3 32 59.6 104.7 32.7 31.7 22.8 11.3
4.8 5.4 9.5 21.9 44.3 27.7 41.3 47.4 92.1 25.6 19.1 7.9
12.3 12.9 8.1 9.8 20.8 38.6 47.8 34.9 45.2 26.4 13.3 14.8
11.5 10.5 18.4 29.2 25.5 71.1 82.2 80.2 34.9 43.4 15.8 10.6
12 7.6 15.8 29.8 26 62.1 39.2 31.7 55.1 19.5 14.6 10.3
19.7 5.5 14.8 11.8 18.4 93.2 61.5 26.4 61 41.5 23 7.8
18.2 14.2 13.5 14.5 24.2 54.3 61.7 59.4 51.8 58.1 23.6 13.4
11.2 5 11.5 13.2 34.1 39.8 29.6 72.6 60 35.5 21.5 9.7
14 10.3 11 17.8 43.9 41.4 31.4 62.4 26.9 28.7 24.4 18.7
7.8 14.5 11.6 25.3 38.1 64.2 29.6 62.9 44.9 22.6 14 13
13.1 13.8 11.3 12.2 19.6 23.7 57.5 41 65.2 30.7 20.9 15.8
10.8 9.7 14.4 10.2 14.8 49.6 89.8 16.3 56.1 38.9 11 9.3
8.1 11.9 22.6 38.2 48.8 62 41.6 78.7 48.6 21.1 28 14.7
19 16.1 7.4 39 33.2 64.9 90.6 82.9 59.7 34.6 13.2 12
8.1 15.5 15.6 31.4 18.7 35.1 75.8 35.7 28.9 16.4 25.7 11.6
17.5 8.5 9.6 13.1 30 104.1 44.6 58.7 72.9 26.1 11.3 18.5
7.8 9.6 14.2 23.9 28.5 75.3 109.9 80.3 33.6 38.7 18.2 15.2
9.3 12.7 17.5 33.8 34.2 57.3 31.3 90.9 67.6 49.4 17 12.8
24.4 13.9 15.7 32.6 37.5 53.4 70.6 89.6 54 31.6 11.8 7.7
8.3 6.3 8.1 19.4 43 44.1 59.3 67.1 55.6 54 24.1 9.5
18.4 16.6 11.8 24.2 24.3 34.3 37.5 49 15.5 22.1 22.2 24.1
9.6 7.4 21.8 18.3 35.4 29.8 67.9 27.4 32.4 35.3 28.9 13
18 9.2 11.8 17.1 26.2 68.3 93.5 45.6 49.8 44.4 17.1 13.4
24.6 11.4 7.4 23.2 31.6 53.4 75.1 59.1 42.1 45.1 22.2 11.6
10.2 16.8 17.6 33 45.6 52.1 63.9 63.7 65.1 28.8 16.4 19.8
20.3 11 19 30.3 34 55.5 113.7 63.5 103 37.3 32 27.5
28.2 8 13.7 24.5 27.8 50.1 42.1 75.3 63.9 31.4 8.1 17.7
22.7 12.8 24.8 23.1 26.8 40.8 86 47.2 98.4 39.4 10.8 21.7
23.2 17.1 22.4 16.1 25.8 96.4 38.9 50.2 58.4 38.6 23.9 10.9
21.7 11.2 18.8 16.7 59.7 71.2 55.1 53 42.7 60.7 36.4 12.3
12.5 6.1 10.6 17.3 45 41.1 107.1 82.6 98 32.9 32.2 36.2
26.8 21.9 14.5 17.3 43 107.6 64.8 57.7 77.4 55.4 41.4 41.3
22 32.1 21.4 24 31.2 46.4 81.3 78.2 63 44.4 33.3 16.2
25.6 14.6 17.3 26.2 39.5 48.1 59.2 41.7 88.3 34.8 17.8 18.1
14.2 25.2 15.1 14.1 13.2 41.7 32.4 50.4 54.8 29.9 25.5 14.4
30.8 22.9 24 26.6 40.5 43.4 16.1 46.9 43.6 33.7 40.8 35.2
32.7 23.3 22.9 22.7 40.6 66.3 46.6 59.3 57.4 46.9 29.7 36.1
15.5 29 9.8 14.3 30.7 59.8 53.7 87.9 50.9 32.6 31.9 17.8
27 11 15.1 18.4 27.7 29.8 67.1 76.3 83.6 39.2 23.6 15.2
13.3 8.9 17.2 18.9 40.6 50.4 133.4 71.2 62.8 43.9 15.8 25.6
31.2 15.8 17.9 20.1 32.2 71.2 123.3 97.9 95.8 48.4 48.9 8.7
21.9 15 21.1 40.7 47.8 60.5 66.8 36.8 46.1 53.9 28.2 30.3
12.9 16.9 34.9 24.1 42.2 39.7 85.6 85.5 45 29.4 18.6 14.7
10.7 9.2 17.3 22.6 23 75.3 61.4 53.2 45.3 27.8 29.3 10.2
26.1 16.3 14.8 21.6 35.5 38.6 37.4 37.3 49.7 40 25.5 26.8
34.6 8.3 17.5 23 38.1 69.1 68.8 73.2 55.1 49.2 50.2 19.1
23.6 28.7 15.9 36.9 38.4 22.8 53.4 70.1 39.5 43.1 39.5 36.8
29 16.7 24.9 29.1 26.6 49.3 61.5 50.2 49.9 50.4 36.8 25.6
17.7 17.2 22.1 27.1 26.9 22.4 42.4 39.9 67.3 41.1 15.6 31.8
23.2 23.8 19.1 41.5 52.9 93.3 86.7 82.8 62.8 36.1 31.4 19.1
15.2 23.3 8.9 20.1 25.4 37.3 31.4 56.7 44.1 27.5 26.8 25.5
12.5 10 23.2 19.1 43.7 50.9 34.5 32 56.6 30.7 35 22.6
19.6 20.8 24.8 20.3 29.7 35.5 77.9 24.4 47 34.4 25.1 22.4
23.2 20.3 16.5 17.5 34.4 43.1 75.1 73.9 87.3 38.7 25 20
11.6 15.6 6.4 12 20.9 35 49.6 72.5 59.1 32.2 36.1 24.5
22.1 14.9 18.8 35.5 32 35.7 38 95.6 45.1 36.4 18.1 24.7
23.8 20.3 7.9 27.4 48.6 67.4 75.6 116.4 58.3 29 38.9 31.8
18 18.1 24 22.1 17.7 92.6 84.4 75.6 51.4 43.1 30.3 25.8
19.1 22 14.3 23.6 26.5 47.1 57.4 70.2 35.9 27.6 21.7 21.9
16.6 4.4 13.6 37.7 44.7 43.2 48.7 46.3 37.9 39.7 21.1 26.6
16.3 13.6 17.3 27.4 19.7 32.8 128.5 50 59.2 65.1 23.3 12.7
25.3 17.8 14.5 17.5 37.3 40.6 81.4 49.2 15.6 28.4 22.5 29.9
25.3 12.6 11.4 38.4 34.7 40.4 49.4 47.6 46.3 49.8 28.9 29.8
22.3 14.9 20.5 16.3 35.8 52.4 60.8 45.9 35.1 35.8 29.5 20.3
18 23.2 23.7 17 30.5 52.8 53.3 52.9 50.4 36 21.5 33
32.2 20.7 11.7 34 43.9 53 84.8 32 85.4 63.6 33.4 16.1
17.8 20.3 22.4 9.1 34.4 48.5 71.1 82.8 27.1 49.8 22.8 33.3
