"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
14.92 8.12 8.12 11.22 13.02 31.92 51.92 45.92 19.92 14.92 19.92 13.92
17.92 9.92 9.92 12.92 14.92 31.92 51.92 45.92 19.92 14.92 19.92 13.92
17.92 9.92 9.92 12.92 14.92 31.92 51.92 45.92 19.92 14.92 19.92 11.42
14.72 8.12 9.42 10.32 14.32 31.92 51.92 45.92 19.92 13.42 16.32 12.52
14.02 7.82 7.82 10.22 13.42 30.82 57.02 43.62 22.02 12.92 17.22 13.22
14.33 8.73 8.13 10.83 11.93 28.13 53.83 39.63 20.63 12.23 16.73 11.53
14.43 8.03 8.13 10.53 12.63 38.73 48.93 42.03 16.73 13.43 16.93 12.23
14.73 8.63 10.23 11.03 11.73 26.13 42.93 54.53 19.23 13.83 17.53 12.03
14.73 8.93 8.63 11.23 13.23 25.33 48.33 44.63 28.53 13.13 16.33 11.93
17.53 8.73 8.63 10.53 13.63 30.33 55.43 39.93 19.23 14.13 16.33 12.03
14.43 9.33 9.73 10.33 12.43 28.83 51.53 38.43 16.53 12.03 16.33 12.23
14.73 8.73 8.63 10.73 12.63 30.83 48.13 38.43 17.83 11.83 16.53 12.43
14.73 8.43 8.43 10.33 12.43 27.33 43.73 63.03 19.93 12.43 17.03 11.63
15.83 9.53 9.33 11.73 14.33 27.63 46.63 41.03 18.73 14.93 17.53 12.83
14.73 8.63 8.03 11.03 12.13 27.13 50.73 52.83 17.53 11.83 16.93 11.93
14.93 8.13 8.13 11.23 13.03 31.93 51.93 45.93 19.93 14.93 19.93 13.93
17.93 9.93 9.93 12.93 14.93 31.93 51.93 45.93 19.93 14.93 19.93 13.93
17.93 9.93 9.93 12.93 14.93 31.93 51.93 45.93 19.93 14.93 19.93 11.43
14.73 8.13 9.43 10.33 14.33 31.93 51.93 45.93 19.93 13.43 16.33 12.53
14.03 7.83 7.83 10.23 13.43 30.83 57.03 43.63 22.03 12.93 17.23 13.23
18.79 7.49 6.79 9.79 12.59 27.79 50.99 39.19 16.39 13.49 18.39 10.09
13.89 8.69 8.19 9.49 14.09 29.99 52.09 44.39 17.79 12.79 15.49 11.79
13.59 8.69 9.69 11.39 12.89 24.09 51.89 39.99 17.19 12.69 15.99 10.59
13.69 7.09 9.29 9.79 13.69 34.29 45.09 46.99 18.69 13.89 18.89 12.89
16.89 8.89 8.89 11.89 13.89 30.89 50.89 44.89 18.89 13.89 18.89 12.89
16.89 8.89 8.89 11.89 13.89 30.89 50.89 44.89 18.89 13.89 18.89 12.89
16.89 8.89 8.89 11.89 13.89 30.89 50.89 44.89 18.89 13.89 18.89 12.89
16.89 8.89 8.89 11.89 13.89 30.89 50.89 44.89 18.89 13.89 18.89 12.89
16.89 8.89 8.89 11.89 13.89 30.89 50.89 44.89 18.89 13.89 18.89 12.89
16.89 8.89 8.89 11.89 13.89 30.89 50.89 44.89 18.89 13.89 18.89 12.89
16.89 8.89 8.89 11.89 13.89 30.89 50.89 44.89 18.89 13.89 18.89 12.89
13.39 7.09 7.09 9.49 10.69 30.89 50.89 44.89 21.29 13.59 18.79 11.09
13.59 6.99 7.29 9.29 11.79 30.89 50.89 44.89 18.89 13.89 18.89 12.89
16.89 8.89 8.89 11.89 13.89 30.89 50.89 44.89 18.89 13.89 18.89 12.89
16.89 8.89 8.89 11.89 13.89 30.89 50.89 44.89 18.89 13.89 18.89 12.89
2.82 0.72 3.12 2.42 7.02 40.02 55.02 50.42 22.72 13.02 16.72 7.42
13.42 4.92 7.22 6.52 33.52 28.82 46.52 49.62 10.52 29.02 13.72 5.12
11.22 0.92 4.02 13.72 8.12 30.12 74.92 75.82 29.52 8.32 8.32 5.12
3.32 6.22 26.92 1.72 7.72 35.02 102.22 47.42 3.82 23.02 5.62 11.22
38.02 5.32 2.12 6.32 17.42 35.42 86.02 55.92 23.72 16.52 8.62 5.32
4.32 2.02 12.42 2.62 5.02 31.12 40.02 40.12 9.32 14.82 11.32 13.52
12.22 11.62 4.92 21.62 10.62 15.52 33.82 74.72 17.12 30.02 11.22 2.72
17.22 1.92 2.92 13.92 11.02 11.02 50.22 54.42 30.12 6.32 25.82 1.42
14.52 2.32 12.22 12.22 15.62 31.32 37.32 24.52 11.02 4.52 7.12 6.72
