"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
4.87 9.27 6.17 21.27 9.47 30.27 60.07 32.97 23.37 19.67 7.87 8.77
10.67 6.27 6.67 10.97 11.77 32.57 54.97 47.17 24.97 14.27 9.57 6.77
5.57 2.97 5.57 5.57 10.17 21.27 33.57 35.97 13.07 9.27 7.27 9.87
5.17 5.57 6.17 8.47 5.87 18.57 24.67 24.87 16.47 15.27 6.77 11.47
3.17 9.87 4.37 11.77 8.57 31.57 18.17 31.67 30.27 11.17 8.07 7.47
3.76 4.26 3.96 6.26 11.16 23.56 56.46 34.46 19.86 10.06 10.56 3.86
8.36 3.86 3.16 8.06 12.06 21.06 42.76 20.76 31.66 14.66 6.36 13.46
9.76 8.46 6.86 7.76 5.56 30.66 40.06 29.06 28.46 15.46 10.66 9.56
9.66 10.96 5.76 4.96 16.06 29.26 28.36 56.46 26.36 11.36 6.86 9.76
5.46 3.96 6.76 9.56 6.16 26.96 21.06 16.96 16.86 16.46 9.86 4.06
9.66 9.16 9.16 4.46 11.26 33.96 43.56 38.96 28.46 20.26 25.86 14.06
8.26 6.46 9.86 6.66 12.76 32.36 11.86 16.86 21.56 14.56 17.46 6.36
9.06 10.96 7.76 7.16 10.16 16.76 46.16 46.66 10.76 18.66 4.76 12.66
16.46 6.66 2.16 12.96 2.36 30.66 28.86 28.16 35.56 9.46 2.76 9.66
5.36 2.96 10.86 6.76 9.16 46.06 40.26 48.16 16.86 13.56 11.56 16.26
5.96 4.06 11.86 2.16 14.56 42.46 25.96 17.76 22.66 12.76 6.16 9.36
8.26 5.36 3.86 11.06 8.56 15.96 22.36 27.36 20.96 22.66 7.76 10.96
22.36 11.66 0.56 6.96 11.46 41.46 29.26 27.06 36.26 9.26 7.16 10.76
4.46 6.16 1.66 5.26 11.76 25.16 47.56 36.26 14.16 16.56 8.06 5.66
8.06 6.06 4.06 6.96 3.76 19.26 52.26 23.86 12.46 15.56 18.66 10.86
7.17 3.77 3.67 8.27 12.67 14.97 14.87 38.97 12.37 15.47 7.37 2.67
12.17 8.67 7.17 8.87 7.57 21.97 23.67 23.67 13.57 10.97 8.77 7.67
5.47 4.87 7.47 8.37 11.77 28.27 51.97 34.87 18.27 13.77 7.67 8.27
6.77 6.47 10.77 8.37 10.77 21.37 42.27 44.07 15.67 14.27 9.27 10.47
9.27 8.27 7.27 8.27 11.27 28.27 39.27 36.27 22.27 15.27 10.27 11.27
5.47 8.27 7.27 4.87 11.27 28.27 39.27 36.27 22.27 15.27 10.27 11.27
9.27 8.27 7.27 8.27 11.27 28.27 39.27 36.27 22.27 15.27 10.27 11.27
9.27 8.27 7.27 8.27 11.27 28.27 39.27 36.27 22.27 15.27 10.27 11.27
9.27 8.27 7.27 8.27 11.27 28.27 39.27 36.27 22.27 15.27 10.27 11.27
9.27 8.27 7.27 8.27 11.27 28.27 39.27 36.27 38.47 6.97 3.47 8.27
5.77 3.97 7.77 3.77 6.87 32.67 16.47 37.87 29.57 8.87 9.77 4.17
9.27 5.27 3.37 4.67 7.87 30.67 83.67 38.17 17.77 7.67 8.07 7.37
5.37 6.77 4.17 2.57 5.67 42.17 40.37 26.67 24.97 19.87 5.27 6.27
6.17 6.87 6.07 7.87 8.97 33.07 43.67 38.67 15.27 10.07 4.57 8.27
9.87 5.87 9.07 3.87 10.67 36.87 21.77 29.57 29.17 12.67 5.57 5.87
3.77 4.27 3.97 6.27 11.17 23.57 56.47 34.47 19.87 10.07 10.57 3.87
8.37 3.87 3.17 8.07 12.07 21.07 42.77 20.77 31.67 14.67 6.37 13.47
9.77 8.47 6.87 7.77 5.57 30.67 40.07 29.07 28.47 15.47 10.67 9.57
9.67 10.97 5.77 4.97 16.07 29.27 28.37 56.47 26.37 11.37 6.87 9.77
5.47 3.97 6.77 9.57 6.17 26.97 21.07 16.97 16.87 16.47 9.87 4.07
9.67 9.17 9.17 4.47 11.27 33.97 43.57 38.97 28.47 20.27 25.87 14.07
8.27 6.47 9.87 6.67 12.77 32.37 11.87 16.87 21.57 14.57 17.47 6.37
9.07 10.97 7.77 7.17 10.17 16.77 46.17 46.67 10.77 18.67 4.77 12.67
16.47 6.67 2.17 12.97 2.37 30.67 28.87 28.17 35.57 9.47 2.77 9.67
5.37 2.97 10.87 6.77 9.17 46.07 40.27 48.17 16.87 13.57 11.57 16.27
5.97 4.07 11.87 2.17 14.57 42.47 25.97 17.77 22.67 12.77 6.17 9.37
8.27 5.37 3.87 11.07 8.57 15.97 22.37 27.37 20.97 22.67 7.77 10.97
22.37 11.67 0.57 6.97 11.47 41.47 29.27 27.07 36.27 9.27 7.17 10.77
4.47 6.17 1.67 5.27 11.77 25.17 47.57 36.27 14.17 16.57 8.07 5.67
8.07 6.07 4.07 6.97 3.77 19.27 52.27 23.87 12.47 15.57 18.67 10.87
6.49 4.39 5.49 2.89 6.09 24.29 38.09 53.19 24.29 7.39 9.29 4.29
3.89 9.79 5.59 7.59 13.99 39.89 39.19 24.89 16.19 14.39 3.69 8.19
6.89 5.49 5.99 7.39 12.49 22.19 43.39 30.09 25.19 17.69 7.69 7.89
6.69 6.89 6.99 7.29 7.59 28.39 41.99 47.09 9.99 13.99 6.39 11.89
7.79 5.79 5.09 5.89 9.09 28.79 45.79 29.49 17.19 16.79 4.99 6.59
6.79 6.69 5.19 6.19 5.49 33.89 42.59 25.39 22.29 13.99 9.19 9.49
5.59 6.99 5.49 4.29 2.69 27.49 52.59 49.89 12.89 8.49 6.39 9.29
4.69 5.09 9.59 7.49 6.99 55.79 17.49 50.59 23.39 13.69 5.09 10.39
10.49 4.69 8.59 9.49 6.79 36.59 84.79 30.09 29.99 7.69 7.29 11.39
13.39 4.59 3.09 5.79 13.49 33.19 33.59 53.59 20.89 12.99 9.89 9.59
6.09 11.79 6.69 1.69 2.69 15.29 35.09 23.99 11.29 10.89 10.19 8.99
17.59 4.89 1.99 3.39 7.69 32.89 25.09 34.09 19.49 16.99 8.89 15.39
5.19 4.69 2.49 3.49 5.59 39.39 29.09 46.99 26.49 12.09 2.19 6.19
11.39 7.39 11.19 14.79 7.59 15.39 39.19 27.99 27.29 6.69 7.09 5.99
4.19 4.99 6.89 4.69 1.99 40.29 67.19 32.99 20.89 7.09 9.29 3.59
4.47 6.67 3.57 7.77 4.27 21.37 50.97 42.47 16.97 6.37 3.87 3.57
4.77 6.17 2.67 19.07 3.97 28.27 54.27 40.17 31.37 18.17 6.17 6.47
4.27 8.57 9.97 4.47 5.47 20.37 55.67 29.47 11.87 9.87 8.37 16.07
7.87 6.07 3.97 5.67 24.37 18.07 28.67 21.47 13.17 10.87 5.07 14.27
8.87 8.87 5.77 2.27 7.67 36.67 29.77 28.57 19.47 17.17 3.67 6.97
10.27 4.07 8.37 9.17 14.87 19.67 30.37 25.57 17.97 8.17 10.47 17.47
3.77 3.97 2.17 8.97 6.87 18.17 34.27 29.27 22.77 9.87 5.27 10.27
14.87 5.07 6.07 1.87 6.27 22.87 32.97 40.67 21.47 16.57 9.17 10.77
7.57 1.77 4.17 4.67 12.87 34.57 31.77 61.27 21.27 10.77 10.27 17.77
4.87 15.37 10.37 4.87 14.17 7.57 46.27 60.67 17.87 16.07 15.87 8.47
4.87 7.17 3.87 5.27 12.07 31.17 22.97 29.37 29.17 19.07 8.87 8.97
6.77 3.77 6.77 3.27 9.47 28.47 34.67 35.67 6.47 7.77 11.97 8.77
8.57 11.67 5.57 9.17 4.27 17.07 54.17 51.87 21.57 18.47 6.27 5.87
6.57 13.67 8.07 10.67 11.27 47.57 33.27 47.07 23.97 13.77 10.67 6.07
8.17 7.17 12.27 9.37 19.17 22.27 60.07 37.17 13.77 19.47 7.77 10.77
4.48 6.68 3.58 7.78 4.28 21.38 50.98 42.48 16.98 6.38 3.88 3.58
4.78 6.18 2.68 19.08 3.98 28.28 54.28 40.18 31.38 18.18 6.18 6.48
4.28 8.58 9.98 4.48 5.48 20.38 55.68 29.48 11.88 9.88 8.38 16.08
7.88 6.08 3.98 5.68 24.38 18.08 28.68 21.48 13.18 10.88 5.08 14.28
8.88 8.88 5.78 2.28 7.68 36.68 29.78 28.58 19.48 17.18 3.68 6.98
10.28 4.08 8.38 9.18 14.88 19.68 30.38 25.58 17.98 8.18 10.48 17.48
3.78 3.98 2.18 8.98 6.88 18.18 34.28 29.28 22.78 9.88 5.28 10.28
14.88 5.08 6.08 1.88 6.28 22.88 32.98 40.68 21.48 16.58 9.18 10.78
7.58 1.78 4.18 4.68 12.88 34.58 31.78 61.28 21.28 10.78 10.28 17.78
4.88 15.38 10.38 4.88 14.18 7.58 46.28 60.68 17.88 16.08 15.88 8.48
4.88 7.18 3.88 5.28 12.08 31.18 22.98 29.38 29.18 19.08 8.88 8.98
6.78 3.78 6.78 3.28 9.48 28.48 34.68 35.68 6.48 7.78 11.98 8.78
8.58 11.68 5.58 9.18 4.28 17.08 54.18 51.88 21.58 18.48 6.28 5.88
6.58 13.68 8.08 10.68 11.28 47.58 33.28 47.08 23.98 13.78 10.68 6.08
8.18 7.18 12.28 9.38 19.18 22.28 60.08 37.18 13.78 19.48 7.78 10.78
4.49 6.69 3.59 7.79 4.29 21.39 50.99 42.49 16.99 6.39 3.89 3.59
4.79 6.19 2.69 19.09 3.99 28.29 54.29 40.19 31.39 18.19 6.19 6.49
4.29 8.59 9.99 4.49 5.49 20.39 55.69 29.49 11.89 9.89 8.39 16.09
7.89 6.09 3.99 5.69 24.39 18.09 28.69 21.49 13.19 10.89 5.09 14.29
8.89 8.89 5.79 2.29 7.69 36.69 29.79 28.59 19.49 17.19 3.69 6.99
10.29 4.09 8.39 9.19 14.89 19.69 30.39 25.59 17.99 8.19 10.49 17.49
3.79 3.99 2.19 8.99 6.89 18.19 34.29 29.29 22.79 9.89 5.29 10.29
14.89 5.09 6.09 1.89 6.29 22.89 32.99 40.69 21.49 16.59 9.19 10.79
7.59 1.79 4.19 4.69 12.89 34.59 31.79 61.29 21.29 10.79 10.29 17.79
4.89 15.39 10.39 4.89 14.19 7.59 46.29 60.69 17.89 16.09 15.89 8.49
4.89 7.19 3.89 5.29 12.09 31.19 22.99 29.39 29.19 19.09 8.89 8.99
6.79 3.79 6.79 3.29 9.49 28.49 34.69 35.69 6.49 7.79 11.99 8.79
8.59 11.69 5.59 9.19 4.29 17.09 54.19 51.89 21.59 18.49 6.29 5.89
6.59 13.69 8.09 10.69 11.29 47.59 33.29 47.09 23.99 13.79 10.69 6.09
8.19 7.19 12.29 9.39 19.19 22.29 60.09 37.19 13.79 19.49 7.79 10.79
6.85 7.25 6.85 10.75 15.35 43.85 34.75 30.15 27.85 10.65 9.25 9.35
4.55 9.65 5.65 4.45 6.15 15.95 45.55 32.95 21.95 8.55 8.55 6.75
8.55 8.55 11.15 7.25 8.15 22.55 14.45 37.35 18.65 15.45 10.45 8.85
8.55 13.35 9.55 7.75 8.25 34.25 24.65 21.75 18.95 8.55 7.35 7.85
6.55 6.15 4.85 4.85 7.35 37.45 20.25 22.15 15.85 10.25 9.65 11.05
10.45 9.45 8.45 9.45 12.45 29.45 40.45 34.85 24.15 17.05 12.15 9.95
11.85 9.35 7.05 8.35 13.95 32.65 37.65 34.35 29.55 14.35 13.75 11.65
8.55 10.05 6.35 8.35 11.55 27.15 26.45 26.05 25.45 12.15 8.25 11.05
13.15 7.65 6.35 12.05 10.15 30.75 30.15 29.35 22.15 12.85 11.75 4.65
9.05 8.75 4.75 5.05 10.55 39.45 30.35 34.95 47.15 22.75 10.55 3.85
4.85 9.25 6.15 21.25 9.45 30.25 60.05 32.95 23.35 19.65 7.85 8.75
10.65 6.25 6.65 10.95 11.75 32.55 54.95 47.15 24.95 14.25 9.55 6.75
5.55 2.95 5.55 5.55 10.15 21.25 33.55 35.95 13.05 9.25 7.25 9.85
5.15 5.55 6.15 8.45 5.85 18.55 24.65 24.85 16.45 15.25 6.75 11.45
3.15 9.85 4.35 11.75 8.55 31.55 18.15 31.65 30.25 11.15 8.05 7.45
3.75 4.25 3.95 6.25 11.15 23.55 56.45 34.45 19.85 10.05 10.55 3.85
8.35 3.85 3.15 8.05 12.05 21.05 42.75 20.75 31.65 14.65 6.35 13.45
9.75 8.45 6.85 7.75 5.55 30.65 40.05 29.05 28.45 15.45 10.65 9.55
9.65 10.95 5.75 4.95 16.05 29.25 28.35 56.45 26.35 11.35 6.85 9.75
5.45 3.95 6.75 9.55 6.15 26.95 21.05 16.95 16.85 16.45 9.85 4.05
9.65 9.15 9.15 4.45 11.25 33.95 43.55 38.95 28.45 20.25 25.85 14.05
8.25 6.45 9.85 6.65 12.75 32.35 11.85 16.85 21.55 14.55 17.45 6.35
9.05 10.95 7.75 7.15 10.15 16.75 46.15 46.65 10.75 18.65 4.75 12.65
16.45 6.65 2.15 12.95 2.35 30.65 28.85 28.15 35.55 9.45 2.75 9.65
5.35 2.95 10.85 6.75 9.15 46.05 40.25 48.15 16.85 13.55 11.55 16.25
5.95 4.05 11.85 2.15 14.55 42.45 25.95 17.75 22.65 12.75 6.15 9.35
8.25 5.35 3.85 11.05 8.55 15.95 22.35 27.35 20.95 22.65 7.75 10.95
22.35 11.65 0.55 6.95 11.45 41.45 29.25 27.05 36.25 9.25 7.15 10.75
4.45 6.15 1.65 5.25 11.75 25.15 47.55 36.25 14.15 16.55 8.05 5.65
8.05 6.05 4.05 6.95 3.75 19.25 52.25 23.85 12.45 15.55 18.65 10.85
6.89 7.29 6.89 10.79 15.39 43.89 34.79 30.19 27.89 10.69 9.29 9.39
4.59 9.69 5.69 4.49 6.19 15.99 45.59 32.99 21.99 8.59 8.59 6.79
8.59 8.59 11.19 7.29 8.19 22.59 14.49 37.39 18.69 15.49 10.49 8.89
8.59 13.39 9.59 7.79 8.29 34.29 24.69 21.79 18.99 8.59 7.39 7.89
6.59 6.19 4.89 4.89 7.39 37.49 20.29 22.19 15.89 10.29 9.69 11.09
10.49 9.49 8.49 9.49 12.49 29.49 40.49 34.89 24.19 17.09 12.19 9.99
11.89 9.39 7.09 8.39 13.99 32.69 37.69 34.39 29.59 14.39 13.79 11.69
8.59 10.09 6.39 8.39 11.59 27.19 26.49 26.09 25.49 12.19 8.29 11.09
13.19 7.69 6.39 12.09 10.19 30.79 30.19 29.39 22.19 12.89 11.79 4.69
9.09 8.79 4.79 5.09 10.59 39.49 30.39 34.99 47.19 22.79 10.59 3.89
4.89 9.29 6.19 21.29 9.49 30.29 60.09 32.99 23.39 19.69 7.89 8.79
10.69 6.29 6.69 10.99 11.79 32.59 54.99 47.19 24.99 14.29 9.59 6.79
5.59 2.99 5.59 5.59 10.19 21.29 33.59 35.99 13.09 9.29 7.29 9.89
5.19 5.59 6.19 8.49 5.89 18.59 24.69 24.89 16.49 15.29 6.79 11.49
3.19 9.89 4.39 11.79 8.59 31.59 18.19 31.69 30.29 11.19 8.09 7.49
6.9 7.3 6.9 10.8 15.4 43.9 34.8 30.2 27.9 10.7 9.3 9.4
4.6 9.7 5.7 4.5 6.2 16 45.6 33 22 8.6 8.6 6.8
