"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
7.33 11.83 8.73 21.63 11.23 30.83 63.13 35.43 25.93 22.33 10.33 12.23
12.93 8.13 9.43 9.93 12.33 30.23 52.63 53.73 23.23 15.43 11.03 10.03
8.03 5.43 7.23 7.83 13.13 19.73 36.03 31.33 14.53 10.93 8.93 13.23
8.23 7.93 7.53 11.33 6.63 17.63 27.13 29.63 21.63 18.53 8.83 16.53
5.73 11.13 7.23 14.93 10.83 24.23 20.93 29.23 28.53 12.53 10.23 10.13
6.39 6.09 6.09 7.49 11.99 24.29 55.89 37.29 18.89 11.09 13.69 6.79
10.09 5.89 5.19 9.39 13.69 21.59 48.29 24.19 37.49 17.39 8.69 17.09
11.39 10.79 9.29 8.39 7.09 32.09 43.49 29.59 30.09 17.29 13.29 12.09
12.99 15.09 8.69 7.09 17.19 28.79 29.79 67.79 30.79 14.09 9.79 11.89
5.69 5.89 9.89 11.09 8.09 26.59 21.09 18.19 15.79 20.39 10.29 6.19
11.99 10.49 11.09 6.09 12.69 34.19 44.89 42.99 29.89 21.89 28.49 18.09
10.89 8.79 12.09 8.29 13.49 33.59 14.49 16.99 21.69 16.89 20.49 9.29
11.99 13.99 10.29 8.09 10.89 17.89 51.39 50.09 12.29 20.99 6.79 16.49
18.39 8.79 4.49 13.29 3.89 31.89 29.79 30.49 38.89 12.09 4.59 12.39
7.29 4.89 12.89 8.09 9.49 45.19 40.69 52.89 20.29 15.39 13.69 19.19
8.19 5.99 15.19 3.89 15.99 41.89 26.09 19.19 26.89 14.99 8.29 12.89
10.89 7.89 5.69 11.89 10.49 17.19 21.79 28.89 24.89 25.59 9.89 13.89
26.49 15.09 2.69 8.29 13.69 41.29 33.69 28.09 39.19 10.99 8.99 13.89
6.69 7.99 4.09 6.29 12.79 24.99 51.69 41.59 16.89 20.09 9.59 8.09
10.09 8.39 5.89 8.29 5.19 19.19 56.79 27.19 13.49 18.29 23.79 15.09
6.02 8.72 5.72 9.42 6.32 19.72 53.62 42.92 18.42 7.42 5.62 5.82
6.12 8.12 4.82 19.62 5.82 30.32 54.92 40.92 33.32 18.72 7.92 9.72
6.12 11.42 11.92 6.22 6.52 15.92 57.62 32.62 14.12 11.92 10.12 20.72
10.22 8.42 6.12 7.32 24.82 19.22 31.92 23.62 15.22 12.22 7.02 18.92
11.52 11.72 8.02 4.32 8.02 38.92 33.02 31.02 19.92 21.52 5.22 10.12
12.52 6.42 10.72 9.82 16.02 21.22 34.32 26.72 20.32 10.22 13.02 21.82
6.22 6.42 4.42 9.72 8.22 18.02 31.42 30.42 24.92 11.92 7.72 12.92
18.72 7.62 8.82 3.72 8.12 24.02 35.22 42.72 21.32 19.92 11.02 14.42
9.82 4.12 6.62 6.52 14.02 34.62 33.12 66.52 23.32 13.22 12.62 22.82
7.22 18.22 13.42 6.32 15.72 8.32 47.52 62.62 21.52 19.72 18.22 11.42
6.72 9.92 6.42 6.72 13.62 30.42 24.92 31.82 33.42 22.42 11.02 12.62
9.42 5.72 9.52 5.12 10.82 28.92 38.42 38.42 8.82 10.02 15.82 12.02
10.82 14.62 7.32 10.22 5.62 16.12 60.42 52.32 24.72 21.42 8.32 7.92
9.02 14.92 10.92 12.12 11.92 47.52 35.72 45.42 27.32 15.72 12.92 9.22
11.02 9.82 15.02 10.82 21.52 24.62 61.52 40.72 16.22 21.52 10.02 14.72
6.03 8.73 5.73 9.43 6.33 19.73 53.63 42.93 18.43 7.43 5.63 5.83
6.13 8.13 4.83 19.63 5.83 30.33 54.93 40.93 33.33 18.73 7.93 9.73
6.13 11.43 11.93 6.23 6.53 15.93 57.63 32.63 14.13 11.93 10.13 20.73
10.23 8.43 6.13 7.33 24.83 19.23 31.93 23.63 15.23 12.23 7.03 18.93
11.53 11.73 8.03 4.33 8.03 38.93 33.03 31.03 19.93 21.53 5.23 10.13
12.53 6.43 10.73 9.83 16.03 21.23 34.33 26.73 20.33 10.23 13.03 21.83
6.23 6.43 4.43 9.73 8.23 18.03 31.43 30.43 24.93 11.93 7.73 12.93
18.73 7.63 8.83 3.73 8.13 24.03 35.23 42.73 21.33 19.93 11.03 14.43
9.83 4.13 6.63 6.53 14.03 34.63 33.13 66.53 23.33 13.23 12.63 22.83
7.23 18.23 13.43 6.33 15.73 8.33 47.53 62.63 21.53 19.73 18.23 11.43
6.73 9.93 6.43 6.73 13.63 30.43 24.93 31.83 33.43 22.43 11.03 12.63
9.43 5.73 9.53 5.13 10.83 28.93 38.43 38.43 8.83 10.03 15.83 12.03
10.83 14.63 7.33 10.23 5.63 16.13 60.43 52.33 24.73 21.43 8.33 7.93
9.03 14.93 10.93 12.13 11.93 47.53 35.73 45.43 27.33 15.73 12.93 9.23
11.03 9.83 15.03 10.83 21.53 24.63 61.53 40.73 16.23 21.53 10.03 14.73
9.49 6.09 5.99 9.49 13.99 14.89 16.79 39.69 15.19 19.79 8.49 5.19
15.99 8.79 9.29 11.09 10.99 25.89 34.49 32.89 20.59 15.59 11.79 12.79
9.79 8.99 9.59 9.59 12.69 28.49 47.19 37.89 22.69 16.79 11.29 12.99
10.39 9.69 10.99 9.59 12.29 25.59 42.79 41.99 21.59 17.09 12.09 14.09
11.49 10.49 9.49 9.49 12.49 28.49 41.49 38.49 24.49 17.49 12.49 14.49
