"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
7.51 11.81 8.71 18.51 11.31 29.61 60.41 33.81 25.81 20.81 9.71 11.61
12.81 8.21 9.41 9.21 12.41 29.31 51.21 49.81 23.61 14.81 10.51 9.61
8.21 5.61 7.41 7.31 12.91 19.71 35.41 30.71 15.01 10.81 8.61 12.41
8.31 8.01 7.71 10.01 7.01 17.81 27.21 28.41 21.51 17.41 8.51 15.21
6.01 11.11 7.31 12.91 10.81 24.31 21.51 28.71 28.61 12.21 9.71 9.81
6.43 6.03 6.03 6.63 12.13 23.23 54.93 35.83 18.63 10.43 12.63 6.03
9.93 5.83 5.13 8.33 14.03 20.73 48.03 23.23 37.63 16.33 8.03 16.03
11.43 10.63 9.43 7.43 7.23 30.53 42.53 27.83 30.33 16.03 12.13 11.13
12.63 14.63 8.53 6.33 16.93 26.83 29.83 62.63 30.33 13.33 8.93 11.13
6.03 6.13 9.73 9.53 8.33 25.23 20.63 17.83 16.03 18.83 9.43 6.03
12.23 10.73 11.23 5.43 12.53 33.63 43.63 40.13 30.13 20.73 26.53 17.13
10.73 8.73 12.23 7.23 13.83 32.43 14.03 15.93 21.93 15.83 18.53 8.23
12.13 13.93 10.33 7.13 10.73 17.23 50.03 47.33 12.93 19.43 6.33 15.23
19.13 9.03 4.53 11.83 4.13 31.23 29.23 28.73 39.23 11.33 4.13 11.63
7.33 4.83 13.13 7.13 9.63 43.83 38.73 50.13 20.63 14.33 12.53 18.33
8.03 6.13 15.33 3.43 16.03 40.63 25.13 18.23 26.73 14.03 7.53 11.93
11.13 7.93 5.73 10.43 10.63 16.13 21.23 27.63 24.53 24.43 9.13 13.03
26.63 15.13 2.53 7.33 13.73 39.73 31.93 26.53 39.73 10.03 8.23 12.93
6.73 8.03 4.03 5.53 13.03 23.83 50.43 39.53 17.03 19.03 8.83 7.53
10.03 8.33 5.73 7.23 5.03 18.53 56.23 25.73 13.43 17.13 21.53 13.73
6.04 8.84 5.64 8.24 6.04 19.34 52.84 40.24 18.54 6.84 5.04 5.24
5.94 8.14 4.74 17.14 5.64 29.84 53.94 39.34 33.24 17.94 7.24 8.84
6.14 11.34 12.04 5.54 6.34 15.24 57.34 31.04 13.94 11.24 9.04 19.24
10.24 8.34 6.24 6.54 24.74 18.24 30.44 22.24 15.04 11.44 6.44 17.24
11.54 11.74 8.14 3.84 7.94 37.74 31.84 29.04 20.14 20.14 4.84 9.34
12.44 6.44 10.84 9.04 16.14 20.94 33.24 24.74 20.74 9.44 11.94 20.34
6.24 6.34 4.34 8.54 8.44 17.24 30.84 28.74 24.74 11.34 7.14 12.24
18.74 7.54 8.74 3.44 8.14 23.24 34.24 40.34 21.34 18.84 10.04 13.34
9.84 3.94 6.64 5.74 14.24 33.44 32.84 64.24 23.14 12.54 11.84 21.34
7.24 18.84 13.54 5.74 15.84 7.64 45.84 59.14 21.34 18.44 16.74 10.84
6.54 9.84 6.34 5.84 13.64 29.34 23.94 29.34 33.54 21.14 10.24 11.54
9.34 5.54 9.64 4.64 10.74 27.84 37.14 36.54 8.64 9.34 14.34 11.34
10.84 14.64 7.34 9.04 5.64 14.84 59.04 50.94 24.74 20.44 7.54 7.14
9.04 15.54 10.84 10.64 11.84 46.44 34.64 43.04 27.64 14.74 11.74 8.34
11.04 9.74 15.04 9.44 21.94 24.04 61.34 38.44 16.14 20.34 9.24 13.54
6.05 8.85 5.65 8.25 6.05 19.35 52.85 40.25 18.55 6.85 5.05 5.25
5.95 8.15 4.75 17.15 5.65 29.85 53.95 39.35 33.25 17.95 7.25 8.85
6.15 11.35 12.05 5.55 6.35 15.25 57.35 31.05 13.95 11.25 9.05 19.25
10.25 8.35 6.25 6.55 24.75 18.25 30.45 22.25 15.05 11.45 6.45 17.25
11.55 11.75 8.15 3.85 7.95 37.75 31.85 29.05 20.15 20.15 4.85 9.35
12.45 6.45 10.85 9.05 16.15 20.95 33.25 24.75 20.75 9.45 11.95 20.35
6.25 6.35 4.35 8.55 8.45 17.25 30.85 28.75 24.75 11.35 7.15 12.25
18.75 7.55 8.75 3.45 8.15 23.25 34.25 40.35 21.35 18.85 10.05 13.35
9.85 3.95 6.65 5.75 14.25 33.45 32.85 64.25 23.15 12.55 11.85 21.35
7.25 18.85 13.55 5.75 15.85 7.65 45.85 59.15 21.35 18.45 16.75 10.85
6.55 9.85 6.35 5.85 13.65 29.35 23.95 29.35 33.55 21.15 10.25 11.55
9.35 5.55 9.65 4.65 10.75 27.85 37.15 36.55 8.65 9.35 14.35 11.35
10.85 14.65 7.35 9.05 5.65 14.85 59.05 50.95 24.75 20.45 7.55 7.15
9.05 15.55 10.85 10.65 11.85 46.45 34.65 43.05 27.65 14.75 11.75 8.35
11.05 9.75 15.05 9.45 21.95 24.05 61.35 38.45 16.15 20.35 9.25 13.55
9.54 6.24 6.14 8.44 13.84 15.14 17.64 37.64 15.54 18.24 8.14 5.34
15.54 8.94 9.24 9.64 10.94 24.84 33.34 30.94 20.44 14.64 10.84 11.74
9.64 8.84 9.54 8.44 12.64 27.44 46.14 35.84 22.54 15.74 10.34 12.04
10.24 9.64 11.04 8.44 12.24 24.54 41.74 39.84 21.34 16.04 11.04 13.04
11.44 10.44 9.44 8.44 12.44 27.44 40.44 36.44 24.44 16.44 11.44 13.44
9.64 10.44 9.44 7.24 12.44 27.44 40.44 36.44 24.44 16.44 11.44 13.44
11.44 10.44 9.44 8.44 12.44 27.44 40.44 36.44 24.44 16.44 11.44 13.44
11.44 10.44 9.44 8.44 12.44 27.44 40.44 36.44 24.44 16.44 11.44 13.44
11.44 10.44 9.44 8.44 12.44 27.44 40.44 36.44 24.44 16.44 11.44 13.44
11.44 10.44 9.44 8.44 12.44 27.44 40.44 36.44 40.14 8.94 5.54 10.54
8.14 6.14 9.94 5.04 8.84 31.04 18.54 39.64 31.04 10.94 10.84 6.34
10.44 7.34 5.74 5.74 9.34 31.44 83.64 39.54 17.54 9.74 9.64 8.94
7.94 9.04 6.44 3.94 7.14 36.14 42.74 25.94 25.64 21.04 6.74 8.84
8.04 7.54 8.24 8.24 11.44 29.44 42.44 37.54 16.94 11.14 6.44 10.54
11.94 8.34 10.14 5.44 10.74 37.74 23.54 32.24 30.54 14.54 7.04 8.34
9.53 6.23 6.13 8.43 13.83 15.13 17.63 37.63 15.53 18.23 8.13 5.33
15.53 8.93 9.23 9.63 10.93 24.83 33.33 30.93 20.43 14.63 10.83 11.73
9.63 8.83 9.53 8.43 12.63 27.43 46.13 35.83 22.53 15.73 10.33 12.03
10.23 9.63 11.03 8.43 12.23 24.53 41.73 39.83 21.33 16.03 11.03 13.03
11.43 10.43 9.43 8.43 12.43 27.43 40.43 36.43 24.43 16.43 11.43 13.43
9.63 10.43 9.43 7.23 12.43 27.43 40.43 36.43 24.43 16.43 11.43 13.43
11.43 10.43 9.43 8.43 12.43 27.43 40.43 36.43 24.43 16.43 11.43 13.43
11.43 10.43 9.43 8.43 12.43 27.43 40.43 36.43 24.43 16.43 11.43 13.43
11.43 10.43 9.43 8.43 12.43 27.43 40.43 36.43 24.43 16.43 11.43 13.43
11.43 10.43 9.43 8.43 12.43 27.43 40.43 36.43 40.13 8.93 5.53 10.53
8.13 6.13 9.93 5.03 8.83 31.03 18.53 39.63 31.03 10.93 10.83 6.33
10.43 7.33 5.73 5.73 9.33 31.43 83.63 39.53 17.53 9.73 9.63 8.93
7.93 9.03 6.43 3.93 7.13 36.13 42.73 25.93 25.63 21.03 6.73 8.83
8.03 7.53 8.23 8.23 11.43 29.43 42.43 37.53 16.93 11.13 6.43 10.53
11.93 8.33 10.13 5.43 10.73 37.73 23.53 32.23 30.53 14.53 7.03 8.33
8.33 9.63 8.03 9.23 18.23 44.33 36.13 27.63 31.73 12.23 11.13 12.43
7.03 11.93 8.33 6.23 7.23 15.13 42.83 32.53 24.63 10.83 11.53 9.43
12.03 11.53 12.23 9.13 7.93 24.43 16.53 40.23 17.53 15.23 11.63 13.23
12.03 13.73 11.43 9.33 10.03 37.23 24.33 23.13 19.63 9.53 8.73 9.53
7.63 8.63 7.43 6.33 9.33 36.93 21.63 19.43 18.23 10.83 8.73 14.33
12.93 11.93 10.93 9.93 13.93 28.93 41.93 36.83 26.23 18.23 13.23 13.73
13.53 11.83 10.33 9.53 14.53 30.23 40.63 36.53 28.73 17.03 13.93 14.53
12.03 12.23 9.93 9.53 13.53 28.03 35.53 32.93 26.83 16.13 11.63 14.33
14.13 11.13 9.93 10.83 12.93 29.43 37.23 34.33 26.13 15.33 11.43 7.23
10.43 11.43 7.13 6.93 12.33 41.83 30.93 31.93 48.93 19.63 11.93 6.83
7.53 11.83 8.73 18.53 11.33 29.63 60.43 33.83 25.83 20.83 9.73 11.63
12.83 8.23 9.43 9.23 12.43 29.33 51.23 49.83 23.63 14.83 10.53 9.63
8.23 5.63 7.43 7.33 12.93 19.73 35.43 30.73 15.03 10.83 8.63 12.43
8.33 8.03 7.73 10.03 7.03 17.83 27.23 28.43 21.53 17.43 8.53 15.23
6.03 11.13 7.33 12.93 10.83 24.33 21.53 28.73 28.63 12.23 9.73 9.83
6.46 6.06 6.06 6.66 12.16 23.26 54.96 35.86 18.66 10.46 12.66 6.06
9.96 5.86 5.16 8.36 14.06 20.76 48.06 23.26 37.66 16.36 8.06 16.06
11.46 10.66 9.46 7.46 7.26 30.56 42.56 27.86 30.36 16.06 12.16 11.16
12.66 14.66 8.56 6.36 16.96 26.86 29.86 62.66 30.36 13.36 8.96 11.16
6.06 6.16 9.76 9.56 8.36 25.26 20.66 17.86 16.06 18.86 9.46 6.06
12.26 10.76 11.26 5.46 12.56 33.66 43.66 40.16 30.16 20.76 26.56 17.16
10.76 8.76 12.26 7.26 13.86 32.46 14.06 15.96 21.96 15.86 18.56 8.26
12.16 13.96 10.36 7.16 10.76 17.26 50.06 47.36 12.96 19.46 6.36 15.26
19.16 9.06 4.56 11.86 4.16 31.26 29.26 28.76 39.26 11.36 4.16 11.66
7.36 4.86 13.16 7.16 9.66 43.86 38.76 50.16 20.66 14.36 12.56 18.36
8.06 6.16 15.36 3.46 16.06 40.66 25.16 18.26 26.76 14.06 7.56 11.96
11.16 7.96 5.76 10.46 10.66 16.16 21.26 27.66 24.56 24.46 9.16 13.06
26.66 15.16 2.56 7.36 13.76 39.76 31.96 26.56 39.76 10.06 8.26 12.96
6.76 8.06 4.06 5.56 13.06 23.86 50.46 39.56 17.06 19.06 8.86 7.56
10.06 8.36 5.76 7.26 5.06 18.56 56.26 25.76 13.46 17.16 21.56 13.76
6.03 8.83 5.63 8.23 6.03 19.33 52.83 40.23 18.53 6.83 5.03 5.23
5.93 8.13 4.73 17.13 5.63 29.83 53.93 39.33 33.23 17.93 7.23 8.83
6.13 11.33 12.03 5.53 6.33 15.23 57.33 31.03 13.93 11.23 9.03 19.23
10.23 8.33 6.23 6.53 24.73 18.23 30.43 22.23 15.03 11.43 6.43 17.23
11.53 11.73 8.13 3.83 7.93 37.73 31.83 29.03 20.13 20.13 4.83 9.33
12.43 6.43 10.83 9.03 16.13 20.93 33.23 24.73 20.73 9.43 11.93 20.33
