"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
11.9 8.3 5.6 6.7 6.6 21.4 52.4 32.3 21.4 10.1 15 10.4
12.2 6.5 5.6 6.2 7.5 39.7 43.5 36.8 13.7 12.7 15.3 12.1
12.9 8 9.6 7 6.2 18 32.6 60 18.5 13.7 16.8 11.5
12.9 8.8 6.6 7.3 8.5 16.7 42.5 41.6 37.2 12 14.2 11.2
19.1 8.3 6.6 6.2 9.1 25.3 55.4 32.8 18.5 14.2 14.2 11.5
12.2 9.5 8.6 6 7.2 22.7 48.4 30.1 13.1 9.8 14.2 12.1
12.9 8.3 6.6 6.5 7.5 26.1 42.1 30.1 15.7 9.3 14.5 12.6
12.9 7.5 6.1 6 7.2 20.1 34.1 75.6 20 10.5 15.6 10.7
15.4 10.1 7.8 8.1 10.1 20.6 39.3 34.8 17.5 16 16.8 13.4
12.9 8 5.3 7 6.9 19.7 46.8 56.7 15.2 9.3 15.3 11.2
13.2 6.7 5.6 7.3 8.2 28 49 44 20 16 22 16
20 11 9 10 11 28 49 44 20 16 22 16
20 11 9 10 11 28 49 44 20 16 22 10.1
12.9 6.7 8.1 6 10.1 28 49 44 20 12.7 14.2 12.8
11.3 6.2 5.1 5.7 8.8 26.1 58.2 39.7 24.2 11.8 16.1 14.5
24.1 7.8 5.1 6.7 9.1 22.7 49.2 33.4 15 15.2 21 9.4
13.2 10.6 7.6 6.2 11.4 26.5 51.2 43 17.8 13.7 14.5 13.4
12.6 10.6 10.6 9.2 9.4 16.3 50.8 34.8 16.5 13.5 15.6 10.7
12.9 6.7 9.8 6.7 10.8 33.8 38.5 47.9 19.6 16 22 16
20 11 9 10 11 28 49 44 20 16 22 16
20 11 9 10 11 28 49 44 20 16 22 16
20 11 9 10 11 28 49 44 20 16 22 16
20 11 9 10 11 28 49 44 20 16 22 16
20 11 9 10 11 28 49 44 20 16 22 16
20 11 9 10 11 28 49 44 20 16 22 16
20 11 9 10 11 28 49 44 20 16 22 16
12.2 6.7 5.6 6.2 6.2 28 49 44 24.7 15.4 21.9 11.8
12.6 6.5 5.9 6 7.9 28 49 44 20 16 22 16
20 11 9 10 11 28 49 44 20 16 22 16
20 11 9 10 11 28 49 44 20 16 22 16
20 11 9 10 11 28 49 44 20 16 22 16
20 11 9 10 11 28 49 44 20 16 22 16
20 11 9 10 11 28 49 44 20 16 22 16
12.6 8.3 8.6 6 8.8 37.1 40.5 32.4 25 12 18.7 15
18.6 8.8 10.6 10.4 7.9 17.7 49 44 20 16 22 16
20 11 9 10 11 28 49 44.1 20 16 22 16
20 11 9 10 11 28.1 64.3 34.2 13.9 10.7 17.4 15.3
11.9 14.2 8.7 10.6 7.5 27.4 49 44 14.6 11.2 14.5 12.9
12.1 12 5.2 9.2 8.9 31.7 65.6 36.2 16.3 18.5 16.5 13.3
14.4 7.8 6 8.7 13.8 23.8 53.4 48.3 20 16.1 19.5 14.8
14.9 13.5 9.5 7.4 9.5 30 49 44 20 16 22 16
20 11 9 10 11 28 49 44 20 16.8 22.5 15.1
17 7.8 8.4 6.9 8 25.2 53.7 56 29.1 13.3 18.1 12.9
13.8 9.3 7.9 7.3 7.8 28.5 64.1 35.2 21.6 21.2 10.9 16.8
6.3 2.1 2 14 15.3 22 66.3 27.1 26.7 11.5 21.7 8.3
7.3 1.6 3.2 3.8 5.1 40.7 62.4 46.1 28 14.2 24.1 9
13.6 7.9 7.7 5.2 24.8 22.5 50.2 49.9 9.2 31 15.9 7.2
13.8 1.8 6.6 14.6 8.2 26.4 72.5 72.1 29.8 9.9 10.3 8.1
7.9 10.1 24.9 3.4 10.5 29.7 82.6 49.7 6.4 25.3 9 15.9
43.7 7.1 4.2 6.4 13.6 33.1 88.4 59 26 18.8 17.8 8.9
6.4 3.6 13.6 2.6 4 29 35.5 38.2 12.4 19.8 13.7 17.3
19.4 14.3 5.6 17.2 12.5 16 30.1 63.2 20 37.8 14.1 5.2
20.8 4 4.3 12.3 8 12.1 51.7 52.2 30 9.7 30.1 3
17.6 4.7 12.6 12.2 13.4 24.7 33.1 20.1 16.4 7.1 9.4 10.1
3.7 1.7 13.3 3.9 10 49.9 49.4 57.5 31.4 8.4 9.9 15.1
35.8 7.3 9.2 21.7 8.9 25.2 49.6 28.6 37 22.9 5.6 18.1
35.7 25.2 6.4 18 19.5 15.3 78.2 44.8 9.6 17.6 5.5 8.3
7.3 6.1 30.4 14.6 12.1 23 26.3 42.2 12.2 22.5 27.7 23.6
22.3 17.6 1.8 11 9 55 35.8 43.8 32.4 17.3 8.2 4.8
13.1 17.8 8.9 0.7 6.8 19 37.2 77 26 32.9 4.5 18
11.8 2.8 5.7 10.7 7.1 19.7 48.4 67.9 15.1 18.5 24.5 5
38.3 31.2 18.3 11.6 24.5 38.5 75.1 37.7 28.5 15.6 11.1 21.6
41.1 7.8 8.6 13.6 11.7 29.6 50.7 31.7 5.9 15.6 26 17
13.2 3.2 4.7 5.7 21.1 16.1 55.8 42.1 13 10 10.1 18.1
11.7 2.8 9.8 11.6 8.6 26.9 41.9 38.3 36.6 11.7 52.9 9.1
48.5 21 14.4 8.5 3.3 30.1 43.2 46.6 15.1 14.5 60.3 7.7
23.4 6.1 26.3 13.9 21.8 43 45.5 23.8 11.4 24.5 11.7 30.4
33.4 13.3 11.4 2.4 18.1 27.9 53.7 51 8.7 24.8 8.8 25.4
44.1 5.4 4.4 7.5 8.3 21.1 28 21.1 27.1 18.2 6.5 18.5
7.2 9.6 6.9 6.3 16.9 19.1 35.8 63.6 10.4 13.6 38.7 14.1
32.9 10.3 10.5 7.1 5.5 12.2 21.3 23.2 20.8 23.1 35.2 27
22.2 13.7 4.6 11.2 12 26 52.7 53.6 21.2 26.8 18.2 29.4
12.8 11.1 2 12.2 4.8 13 55.1 50.8 29.3 23.9 51.1 11.5
11.2 5.5 7.1 1.4 6.4 20.5 28.7 36.7 28.4 7.1 19.1 1.5
14.9 10.5 14.9 13.7 10.7 38.7 36 39.2 27.7 15.2 35.9 6.9
21.2 5.8 9.3 12.6 6.3 31.5 47.4 46.8 16.7 8 9.3 7.6
18.7 12 3.8 11 14.6 36.6 23.6 51.7 47.8 13.5 12.8 23
34 11.9 4.7 14.2 10 46.8 68.3 42.7 12 6.2 12.7 13
20.2 19.8 8.9 7.7 5.3 22.4 66.1 66.8 22.6 10.6 17.2 22
9.4 16.4 9.3 3.6 3.4 43.9 70.6 19.8 4.7 13.6 7.9 6.2
16.9 7.8 10.9 16 11.2 40.9 91.6 21.6 14.2 17.2 12.5 18.1
24.8 21.6 13.8 19.2 9.8 8.6 15.5 24.6 10.9 23.1 26.3 22.8
8.9 3.3 3 12.4 6.9 11.3 53.1 46.4 15.7 10.9 8.6 30.2
12.1 0.9 3.7 4.3 19.3 44.5 78.5 54.1 35 12.6 20.4 15.2
12 10.1 5.9 3.7 11 18.4 37.5 70.8 9 15.4 38.2 13.1
5.5 11.3 9.8 6.7 10.1 25.3 75.2 37.2 33.6 12.6 18 14.5
14.8 2.5 9.8 12.6 9.6 30.5 29.9 52.7 12.6 11.2 8.5 15.8
25.8 9.2 1.2 8.4 3.9 18.5 44.5 45.8 11.3 11.1 2.2 9.2
14.5 35.6 19.7 22.3 16.6 25.7 48.2 57.6 18.9 23.6 17.5 6.7
4.1 2.7 7.3 10.1 21.6 47.7 58.5 48 35.7 22.7 43.5 13.6
3.9 10.1 13.7 5.6 6.7 19.8 19 37.2 17.8 18.5 18.4 10
9.8 13.7 4.1 13.2 15.9 51.7 24.4 34.9 9.9 17.6 29.4 19.7
12 10.5 11.1 8.4 9.9 15.4 26.9 32.1 10.9 20 18.7 7.4
12.9 10.9 5.1 7.4 6.3 14.7 27.7 46.5 19.7 12.2 18.8 6.4
17.4 9.3 10.3 3.5 11.7 33.7 42.8 32.3 22.1 8.1 10.5 6
12 10.9 20.5 5.7 24.2 45.5 41.6 56.2 14.4 14.2 35.1 21.2
8.8 5.4 8.9 7.8 9.7 35.8 30.8 33 21.2 16 23.2 9.4
16.4 5.7 17.4 15.7 7 25.7 42.1 58.5 27.9 24.1 18.4 11.8
3.6 5 8.4 7.9 7.1 23.8 28.2 34.6 25.9 7 32.3 3.9
10.1 7.5 7.2 4.5 14.7 29.8 40.4 35.2 22.9 12.4 11.3 10.2
12.2 13.2 7.1 4.4 12.3 32.1 17.5 51.8 31.1 13.6 14.9 3.3
15.8 10.4 13.6 9.4 13.2 13.1 42.9 18.8 18.9 13.6 14.7 13.1
12.2 1.2 4.9 8.1 20.7 38.3 24.1 18.9 9.7 12.8 13.6 24.1
18.4 2.4 5.4 11.5 12.6 23.7 27.4 46.6 17.5 35.8 25.1 18.3
22.7 5.8 12.9 7.6 10.1 19 41.4 47 22 22.4 17.6 4.1
4.7 27.7 19.3 5.6 17.6 39.6 28.5 49.3 21.2 15.4 26.8 9.9
9.5 11.3 16.4 6.9 9.3 19.8 32.1 46.1 33.3 7.7 21.6 16.4
7.3 0.7 0.7 19.8 4.8 35.3 41.2 26.4 13.9 13.3 16.8 27.9
12.8 18.5 11.5 8.7 14 23.6 45.6 65 3 22.2 7.3 28.7
8.7 9 21.3 3.2 4.7 39.9 15.6 48.6 39.5 17.9 18.3 16.8
13.1 17.1 5.2 4.8 22.3 17.7 39 30.5 52.9 16.1 16 6.9
6.9 2.4 2 14.2 8 37.4 48.2 73.6 15.3 18.6 16.2 19.7
5.3 1.3 20.3 11.5 10.2 56 59.7 48.2 16.2 17.2 25.9 20.2
20.4 13.9 15.2 11.9 22 34 49 37.2 27.9 19.7 26.6 6.6
4.8 10.5 6.4 7.4 17.8 36.9 27.1 45.1 17.1 12.9 13.8 9.4
8.8 23.4 6.9 1.8 10.1 32.1 46 26.4 12.3 29.3 21.2 21.8
16.7 9.8 7.2 7 4.9 14.6 48.8 17.7 20.1 27.9 50.7 21.6
11.9 12.5 16.8 4.2 1.8 36.3 38 14.6 36.2 17 12.9 3.9
