"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
4.4 5.7 4.1 5.3 14.3 40.4 32.2 23.7 27.8 8.3 7.2 8.5
3.1 8 4.4 2.3 3.3 11.2 38.9 28.6 20.7 6.9 7.6 5.5
8.1 7.6 8.3 5.2 4 20.5 12.6 36.3 13.6 11.3 7.7 9.3
8.1 9.8 7.5 5.4 6.1 33.3 20.4 19.2 15.7 5.6 4.8 5.6
3.7 4.7 3.5 2.4 5.4 33 17.7 15.5 14.3 6.9 4.8 10.4
9 8 7 6 10 25 38 32.9 22.3 14.3 9.3 9.8
9.6 7.9 6.4 5.6 10.6 26.3 36.7 32.6 24.8 13.1 10 10.6
8.1 8.3 6 5.6 9.6 24.1 31.6 29 22.9 12.2 7.7 10.4
10.2 7.2 6 6.9 9 25.5 33.3 30.4 22.2 11.4 7.5 3.3
6.5 7.5 3.2 3 8.4 37.9 27 28 45 15.7 8 2.9
3.6 7.9 4.8 14.6 7.4 25.7 56.5 29.9 21.9 16.9 5.8 7.7
8.9 4.3 5.5 5.3 8.5 25.4 47.3 45.9 19.7 10.9 6.6 5.7
4.3 1.7 3.5 3.4 9 15.8 31.5 26.8 11.1 6.9 4.7 8.5
4.4 4.1 3.8 6.1 3.1 13.9 23.3 24.5 17.6 13.5 4.6 11.3
2.1 7.2 3.4 9 6.9 20.4 17.6 24.8 24.7 8.3 5.8 5.9
7.1 3.8 3.7 6 11.4 12.7 15.2 35.2 13.1 15.8 5.7 2.9
13.1 6.5 6.8 7.2 8.5 22.4 30.9 28.5 18 12.2 8.4 9.3
7.2 6.4 7.1 6 10.2 25 43.7 33.4 20.1 13.3 7.9 9.6
7.8 7.2 8.6 6 9.8 22.1 39.3 37.4 18.9 13.6 8.6 10.6
9 8 7 6 10 25 38 34 22 14 9 11
7.2 8 7 4.8 10 25 38 34 22 14 9 11
9 8 7 6 10 25 38 34 22 14 9 11
9 8 7 6 10 25 38 34 22 14 9 11
9 8 7 6 10 25 38 34 22 14 9 11
9 8 7 6 10 25 38 34 37.7 6.5 3.1 8.1
5.7 3.7 7.5 2.6 6.4 28.6 16.1 37.2 28.6 8.5 8.4 3.9
8 4.9 3.3 3.3 6.9 29 81.2 37.1 15.1 7.3 7.2 6.5
5.5 6.6 4 1.5 4.7 33.7 40.3 23.5 23.2 18.6 4.3 6.4
5.6 5.1 5.8 5.8 9 27 40 35.1 14.5 8.7 4 8.1
9.5 5.9 7.7 3 8.3 35.3 21.1 29.8 28.1 12.1 4.6 5.9
4.1 7 5.5 3.3 17.6 20.2 30.9 30.5 15.3 12.3 8 10.3
8.1 7.6 7 5.3 8.7 21.7 35.1 25.2 8.7 7.4 3.9 7.4
10.7 4.1 4.8 2.3 8.2 15.8 46 18.2 28.9 10 6.7 5.6
4.1 8.3 3.7 1.3 10.4 18 16.2 16.3 13.5 8.1 2.8 4.1
4.7 7.5 3.6 2.9 3.6 27.4 42 37.5 24.1 6.6 4.1 8
1.4 4.8 6.2 3.8 7.1 35.4 24.7 39.9 19.3 11.3 2.9 6.3
8.3 13.4 2.1 3.2 4.8 51.4 19.4 45.8 23.3 6 3.7 7.1
14.7 6.1 11.5 5 2.3 21.8 34.8 25.3 20.9 12.5 8.3 11
5.2 7.1 4.4 7.7 9 27.7 30.9 66.8 28.5 7.6 6.8 8.4
4 3.7 9.7 3.2 7.8 30.7 44.9 59.2 14.7 12.1 5.2 4.4
4.5 4.8 3.9 3.2 5.2 27.8 33.6 60.4 34.2 8 3.7 5.4
6.2 2.5 5.7 2.5 4.7 21.2 34.5 35.9 24.1 5.6 5.6 4.6
6.1 3.1 3.4 5.3 25.9 13.4 46.4 43.1 18.4 16 6.3 2.3
4.6 6.2 4.1 4.4 16.6 39 26.8 39.6 24.9 10.7 5.4 16.4
5.9 4 4.4 2.4 6.2 11.4 52.1 44 14.6 18.2 6 9.8
6 3.9 5 2 5.3 21.2 35.9 53.7 25.6 5.9 7 4
3.3 9.5 5.3 5.5 12.9 37.2 40.8 24.1 15.8 13.3 2.2 8.4
6.2 5.1 5.6 5.9 11.8 18.5 43.1 27.2 25.6 14.1 6.6 8.8
6.1 6.7 6.2 5 6.6 25.3 38.6 40.4 9.7 14.2 5.8 11.7
7.1 5.2 3.8 4.4 6.6 24.2 43.6 25.9 18.6 14.8 4.2 6.5
6.5 6.5 4.8 4.7 4 33.4 36.4 23.7 23.8 13.7 7.3 8.5
5.3 6.8 4.6 2.9 2.2 24.7 53.9 47.9 13.4 7.2 5.2 9.8
4.2 4.4 9.8 6.1 6.5 54.8 16.3 47.1 23.4 12.1 4.5 10.8
10 4.2 8.9 7.5 6.3 32.8 87.3 28.2 31.2 7.2 6.8 12.3
14.3 4.7 2.7 4.5 11.1 32.4 34.6 57.3 22.6 13 8.6 10
5.6 13 5.8 1.6 2.8 12.8 39.3 18.5 10.7 9.4 8 8.6
18.9 5.2 1.7 2.6 6.4 28.5 25.1 32 18.4 15.5 8.3 16.3
5.1 4.7 2.4 2.6 4.6 36.4 30.5 44.3 27.3 11.2 1.6 6
11.7 7.2 12.3 11.8 7.2 14.4 34.1 27.2 26.7 6.2 6.2 5.3
4.3 4.9 6.4 3.8 1.7 36.7 69.6 31.9 20.1 6.2 8 3.7
5.4 5 5 5.6 11.1 22.2 53.9 34.8 17.6 9.4 11.6 5
8.9 4.8 4.1 7.3 13 19.7 47 22.2 36.6 15.3 7 15
